Speed,Torque
-5381.31313131313,-471.656499296105
-5421.71717171717,-468.886818816954
-5462.12121212121,-466.158113730929
-5502.52525252525,-463.469481413492
-5542.92929292929,-460.820045558087
-5583.33333333333,-458.208955223881
-5623.73737373737,-455.635383924562
-5664.14141414141,-453.09852875613
-5704.54545454545,-450.597609561753
-5744.94949494949,-448.131868131868
-5785.35353535354,-445.7005674378
-5825.75757575758,-443.302990897269
-5866.16161616162,-440.938441670254
-5906.56565656566,-438.606241983754
-5946.9696969697,-436.305732484076
-5987.37373737374,-434.036271615352
-6027.77777777778,-431.797235023041
-6068.18181818182,-429.588014981273
-6108.58585858586,-427.40801984291
-6148.9898989899,-425.256673511294
-6189.39393939394,-423.133414932681
-6229.79797979798,-421.037697608431
-6270.20202020202,-418.968989126057
